date,ticker,action,quantity,price,fees
2016-02-29,CASH,DEPOSIT,0.0,25000.0,0.0
2016-02-29,MSFT,BUY,46.732247,51.36,2.4
2016-02-29,VNQ,BUY,30.81748,77.88,2.4
2016-02-29,GLD,BUY,20.221481,118.69,2.4
2016-02-29,TLT,BUY,20.23691,118.6,2.4
2016-02-29,AAPL,BUY,98.307646,24.41,2.4
2016-02-29,SPY,BUY,10.619854,225.99,2.4
2016-02-29,BND,BUY,30.996206,77.43,2.4
2016-02-29,VXUS,BUY,43.940131,54.62,2.4
2016-02-29,VTI,BUY,12.325467,194.72,2.4
2016-02-29,QQQ,BUY,22.076648,108.71,2.4
2016-03-31,VXUS,DIVIDEND,0.0,55.99,0.0
2016-03-31,MSFT,DIVIDEND,0.0,49.79,0.0
2016-03-31,AAPL,DIVIDEND,0.0,70.23,0.0
2016-03-31,SCHD,DIVIDEND,0.0,51.42,0.0
2016-03-31,VNQ,DIVIDEND,0.0,61.87,0.0
2016-03-31,QQQ,DIVIDEND,0.0,80.52,0.0
2016-03-31,SPY,DIVIDEND,0.0,55.98,0.0
2016-03-31,BND,DIVIDEND,0.0,59.08,0.0
2016-03-31,SCHD,BUY,9.827898,42.69,0.5
2016-03-31,VTI,DIVIDEND,0.0,65.76,0.0
2016-03-31,EFA,BUY,2.565044,53.86,0.5
2016-03-31,AAPL,BUY,37.232266,23.37,0.87
2016-03-31,GOOGL,BUY,7.834636,40.4,0.5
2016-03-31,GLD,BUY,4.750089,109.48,0.52
2016-03-31,XLF,BUY,28.780407,23.77,0.68
2016-03-31,XLY,BUY,4.846737,68.83,0.5
2016-03-31,CASH,INTEREST,0.0,7.07,0.0
2016-03-31,CASH,DEPOSIT,0.0,4000.0,0.0
2016-03-31,IWM,BUY,2.989366,106.29,0.5
2016-04-29,XLV,BUY,3.306752,59.41,0.5
2016-04-29,XLK,BUY,4.711865,48.01,0.5
2016-04-29,XLI,BUY,11.297371,49.5,0.56
2016-04-29,VXUS,BUY,12.963859,53.73,0.7
2016-04-29,AMZN,BUY,13.16144,28.15,0.5
2016-04-29,CASH,DEPOSIT,0.0,4000.0,0.0
2016-04-29,NVDA,BUY,6.296733,8.06,0.5
2016-04-29,CASH,INTEREST,0.0,8.42,0.0
2016-04-29,SCHD,BUY,13.647822,46.38,0.63
2016-04-29,META,BUY,9.654955,89.83,0.87
2016-05-31,GLD,BUY,0.707442,117.67,0.5
2016-05-31,XLV,BUY,8.248565,67.4,0.56
2016-05-31,GOOGL,BUY,15.709648,40.42,0.64
2016-05-31,IEF,BUY,17.07115,95.4,1.63
2016-05-31,MSFT,BUY,0.041801,49.78,0.5
2016-05-31,XLU,BUY,12.676,48.04,0.61
2016-05-31,XLF,BUY,2.418888,23.6,0.5
2016-05-31,CASH,INTEREST,0.0,4.47,0.0
2016-05-31,EFA,BUY,0.541672,53.75,0.5
2016-05-31,CASH,DEPOSIT,0.0,4000.0,0.0
2016-06-30,MSFT,DIVIDEND,0.0,71.29,0.0
2016-06-30,AAPL,DIVIDEND,0.0,77.15,0.0
2016-06-30,SCHD,DIVIDEND,0.0,62.98,0.0
2016-06-30,VNQ,DIVIDEND,0.0,59.92,0.0
2016-06-30,QQQ,DIVIDEND,0.0,62.82,0.0
2016-06-30,SPY,DIVIDEND,0.0,82.78,0.0
2016-06-30,BND,DIVIDEND,0.0,71.57,0.0
2016-06-30,VXUS,DIVIDEND,0.0,65.8,0.0
2016-06-30,VTI,DIVIDEND,0.0,48.12,0.0
2016-06-30,MSFT,BUY,6.554546,51.57,0.5
2016-06-30,AMZN,BUY,19.342325,30.34,0.59
2016-06-30,XLI,BUY,9.939922,51.56,0.51
2016-06-30,TSLA,BUY,3.259315,16.03,0.5
2016-06-30,EFA,BUY,5.343056,49.07,0.5
2016-06-30,XLF,BUY,36.762298,24.35,0.9
2016-06-30,BRK-B,BUY,3.125264,133.23,0.5
2016-06-30,SPY,BUY,2.647064,202.7,0.54
2016-06-30,CASH,INTEREST,0.0,5.79,0.0
2016-06-30,CASH,DEPOSIT,0.0,4000.0,0.0
2016-07-29,EFA,BUY,2.033151,55.64,0.5
2016-07-29,TLT,BUY,0.442477,115.22,0.5
2016-07-29,XLV,BUY,3.689944,66.02,0.5
2016-07-29,GOOGL,BUY,4.09717,40.85,0.5
2016-07-29,XLI,BUY,19.158808,51.68,0.99
2016-07-29,SCHD,BUY,20.453726,47.69,0.98
2016-07-29,XLU,BUY,7.182716,47.19,0.5
2016-07-29,CASH,INTEREST,0.0,6.94,0.0
2016-07-29,CASH,DEPOSIT,0.0,4000.0,0.0
2016-07-29,VTI,BUY,3.621815,198.9,0.72
2016-08-31,XLU,BUY,1.852656,44.07,0.5
2016-08-31,EFA,BUY,16.177077,57.1,0.92
2016-08-31,META,BUY,1.372262,92.7,0.5
2016-08-31,NVDA,BUY,36.566704,9.34,0.5
2016-08-31,XLF,BUY,43.236138,23.22,1.0
2016-08-31,TSLA,BUY,7.052533,15.58,0.5
2016-08-31,MSFT,BUY,17.14116,47.01,0.81
2016-08-31,CASH,INTEREST,0.0,6.4,0.0
2016-08-31,CASH,DEPOSIT,0.0,4000.0,0.0
2016-08-31,AAPL,BUY,7.894213,26.08,0.5
2016-09-30,VXUS,DIVIDEND,0.0,64.81,0.0
2016-09-30,MSFT,DIVIDEND,0.0,87.07,0.0
2016-09-30,AAPL,DIVIDEND,0.0,76.27,0.0
2016-09-30,SCHD,DIVIDEND,0.0,61.69,0.0
2016-09-30,VNQ,DIVIDEND,0.0,82.14,0.0
2016-09-30,QQQ,DIVIDEND,0.0,70.78,0.0
