date,ticker,action,quantity,price,fees
2018-08-31,EFA,BUY,7.395408,66.29,0.5
2018-08-31,TSLA,BUY,5.502488,18.33,0.5
2018-08-31,VNQ,BUY,6.396606,89.09,0.57
2018-08-31,TLT,BUY,2.812345,139.65,0.5
2018-08-31,META,BUY,15.231405,103.7,1.58
2018-08-31,IWM,BUY,0.203521,110.43,0.5
2018-08-31,CASH,INTEREST,0.0,7.23,0.0
2018-08-31,CASH,DEPOSIT,0.0,4000.0,0.0
2018-08-31,XLF,BUY,4.917804,27.16,0.5
2018-09-28,VXUS,DIVIDEND,0.0,122.18,0.0
2018-09-28,MSFT,DIVIDEND,0.0,129.71,0.0
2018-09-28,AAPL,DIVIDEND,0.0,124.36,0.0
2018-09-28,SCHD,DIVIDEND,0.0,99.89,0.0
2018-09-28,VNQ,DIVIDEND,0.0,130.29,0.0
2018-09-28,QQQ,DIVIDEND,0.0,119.81,0.0
2018-09-28,SPY,DIVIDEND,0.0,125.27,0.0
2018-09-28,BND,DIVIDEND,0.0,138.76,0.0
2018-09-28,VTI,DIVIDEND,0.0,118.48,0.0
2018-09-28,BND,BUY,5.563797,82.03,0.5
2018-09-28,AAPL,BUY,23.547913,28.65,0.67
2018-09-28,EFA,BUY,17.428949,59.6,1.04
2018-09-28,XLE,BUY,1.559772,70.92,0.5
2018-09-28,BRK-B,BUY,0.662547,166.29,0.5
2018-09-28,NVDA,BUY,14.618617,9.5,0.5
2018-09-28,XLY,BUY,11.092567,88.15,0.98
2018-09-28,GLD,BUY,0.69048,134.42,0.5
2018-09-28,CASH,INTEREST,0.0,10.34,0.0
2018-09-28,CASH,DEPOSIT,0.0,4000.0,0.0
2018-10-31,XLY,BUY,1.930981,89.34,0.5
2018-10-31,XLF,BUY,2.79906,27.14,0.5
2018-10-31,XLV,BUY,8.886569,80.76,0.72
2018-10-31,EFA,BUY,15.903802,65.14,1.04
2018-10-31,AMZN,BUY,19.246312,37.91,0.73
2018-10-31,MSFT,BUY,7.69629,58.07,0.5
2018-10-31,TLT,BUY,0.449954,153.93,0.5
2018-10-31,CASH,INTEREST,0.0,5.04,0.0
2018-10-31,CASH,DEPOSIT,0.0,4000.0,0.0
2018-10-31,XLB,BUY,6.425465,54.8,0.5
