date,ticker,action,quantity,price,fees
2021-01-29,XLI,BUY,6.366483,69.85,0.5
2021-01-29,QQQ,BUY,5.209598,158.84,0.83
2021-01-29,TSLA,BUY,40.703463,23.07,0.94
2021-01-29,CASH,INTEREST,0.0,7.36,0.0
2021-01-29,BND,BUY,0.571492,104.91,0.5
2021-01-29,CASH,DEPOSIT,0.0,4000.0,0.0
2021-02-26,XLB,BUY,9.330381,66.74,0.62
2021-02-26,IEF,BUY,2.874425,140.35,0.5
2021-02-26,GOOGL,BUY,1.131279,58.94,0.5
2021-02-26,XLK,BUY,10.888337,63.63,0.69
2021-02-26,META,BUY,2.705426,141.14,0.5
2021-02-26,XLY,BUY,0.33793,99.79,0.5
2021-02-26,AAPL,BUY,33.97794,35.26,1.2
2021-02-26,CASH,INTEREST,0.0,9.29,0.0
2021-02-26,CASH,DEPOSIT,0.0,4000.0,0.0
2021-02-26,TSLA,BUY,9.57923,20.94,0.5
2021-03-31,BND,DIVIDEND,0.0,189.01,0.0
2021-03-31,MSFT,DIVIDEND,0.0,182.16,0.0
2021-03-31,AAPL,DIVIDEND,0.0,180.27,0.0
2021-03-31,SCHD,DIVIDEND,0.0,183.26,0.0
2021-03-31,VNQ,DIVIDEND,0.0,180.5,0.0
2021-03-31,QQQ,DIVIDEND,0.0,195.76,0.0
2021-03-31,SPY,DIVIDEND,0.0,179.02,0.0
2021-03-31,VXUS,DIVIDEND,0.0,187.97,0.0
2021-03-31,XLB,BUY,14.111891,66.35,0.94
2021-03-31,AMZN,BUY,2.894437,44.71,0.5
2021-03-31,CASH,DEPOSIT,0.0,4000.0,0.0
2021-03-31,XLE,BUY,0.146822,83.37,0.5
2021-03-31,XLV,BUY,19.714664,93.51,1.84
2021-03-31,VXUS,BUY,3.177604,83.61,0.5
2021-03-31,QQQ,BUY,0.176719,158.0,0.5
2021-03-31,AAPL,BUY,7.302609,35.73,0.5
2021-03-31,GOOGL,BUY,2.337764,53.05,0.5
2021-03-31,CASH,INTEREST,0.0,9.28,0.0
2021-03-31,VTI,DIVIDEND,0.0,169.72,0.0
2021-04-30,TLT,BUY,0.478555,148.41,0.5
2021-04-30,XLU,BUY,3.850096,62.57,0.5
2021-04-30,SPY,BUY,1.401937,311.37,0.5
2021-04-30,EFA,BUY,2.929839,86.49,0.5
2021-04-30,VXUS,BUY,13.206575,84.12,1.11
2021-04-30,VTI,BUY,1.629332,282.09,0.5
2021-04-30,VNQ,BUY,4.791506,98.37,0.5
2021-04-30,CASH,INTEREST,0.0,5.81,0.0
2021-04-30,CASH,DEPOSIT,0.0,4000.0,0.0
2021-04-30,XLP,BUY,8.153412,68.24,0.56
2021-05-31,XLU,BUY,10.066365,61.49,0.62
2021-05-31,MSFT,BUY,13.672328,70.0,0.96
2021-05-31,XLV,BUY,5.48044,92.01,0.5
2021-05-31,XLB,BUY,8.933258,64.23,0.57
2021-05-31,CASH,INTEREST,0.0,12.58,0.0
2021-05-31,SCHD,BUY,4.7683,66.32,0.5
2021-05-31,XLF,BUY,8.472172,32.57,0.5
2021-05-31,VNQ,BUY,0.156602,109.67,0.5
